role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
development,fusion_margin,20,0.00779297947883606,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,9,0.11842105263157894,180,2.3684210526315788,180,2.3684210526315788,0,0,9
development,fusion_margin,20,0.008321821689605713,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,9,0.11842105263157894,180,2.3684210526315788,180,2.3684210526315788,0,0,9
development,fusion_margin,20,0.009054020047187805,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,10,0.13157894736842105,200,2.6315789473684212,200,2.6315789473684212,0,0,10
development,fusion_margin,20,0.00966879725456238,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,11,0.14473684210526316,220,2.8947368421052633,220,2.8947368421052633,0,0,11
development,fusion_margin,20,0.010048896074295044,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,12,0.15789473684210525,240,3.1578947368421053,240,3.1578947368421053,0,0,12
development,fusion_margin,20,0.010077059268951416,74,40,34,0,0,0.5405405405405406,37,5,0.36486486486486486,76,12,0.15789473684210525,240,3.1578947368421053,240,3.1578947368421053,0,0,12
development,fusion_margin,20,0.010193154215812683,74,41,33,0,0,0.5540540540540541,37,6,0.3783783783783784,76,13,0.17105263157894737,260,3.4210526315789473,260,3.4210526315789473,0,0,13
development,fusion_margin,20,0.010251641273498535,74,42,32,0,0,0.5675675675675675,37,7,0.3918918918918919,76,14,0.18421052631578946,280,3.6842105263157894,280,3.6842105263157894,0,0,14
development,fusion_margin,20,0.010291099548339844,74,43,31,0,0,0.581081081081081,37,8,0.40540540540540543,76,15,0.19736842105263158,300,3.9473684210526314,300,3.9473684210526314,0,0,15
development,fusion_margin,20,0.01035010814666748,74,43,31,0,0,0.581081081081081,37,8,0.40540540540540543,76,15,0.19736842105263158,300,3.9473684210526314,300,3.9473684210526314,0,0,15
development,fusion_margin,20,0.010455474257469177,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,16,0.21052631578947367,320,4.2105263157894735,320,4.2105263157894735,0,0,16
development,fusion_margin,20,0.010513901710510254,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,17,0.2236842105263158,340,4.473684210526316,340,4.473684210526316,0,0,17
development,fusion_margin,20,0.01060408353805542,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,18,0.23684210526315788,360,4.7368421052631575,360,4.7368421052631575,0,0,17
development,fusion_margin,20,0.010804712772369385,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,18,0.23684210526315788,360,4.7368421052631575,360,4.7368421052631575,0,0,17
development,fusion_margin,20,0.011361002922058105,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,19,0.25,380,5.0,380,5.0,0,0,18
development,fusion_margin,20,0.01174435019493103,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,20,0.2631578947368421,400,5.2631578947368425,400,5.2631578947368425,0,0,19
development,fusion_margin,20,0.012051686644554138,74,42,32,0,0,0.5675675675675675,37,8,0.3918918918918919,76,21,0.27631578947368424,420,5.526315789473684,420,5.526315789473684,0,0,20
development,fusion_margin,20,0.01237994432449341,74,43,31,0,0,0.581081081081081,37,9,0.3918918918918919,76,22,0.2894736842105263,440,5.7894736842105265,440,5.7894736842105265,0,0,21
development,fusion_margin,20,0.012751743197441101,74,43,31,0,0,0.581081081081081,37,9,0.3918918918918919,76,22,0.2894736842105263,440,5.7894736842105265,440,5.7894736842105265,0,0,21
development,fusion_margin,20,0.013709008693695068,74,43,31,0,0,0.581081081081081,37,9,0.3918918918918919,76,23,0.3026315789473684,460,6.052631578947368,460,6.052631578947368,0,0,21
development,fusion_margin,20,0.014550313353538513,74,44,30,0,0,0.5945945945945946,37,10,0.40540540540540543,76,24,0.3157894736842105,480,6.315789473684211,480,6.315789473684211,0,0,22
development,fusion_margin,20,0.014574229717254639,74,44,30,0,0,0.5945945945945946,37,10,0.40540540540540543,76,24,0.3157894736842105,480,6.315789473684211,480,6.315789473684211,0,0,22
development,fusion_margin,20,0.014819025993347168,74,45,29,0,0,0.6081081081081081,37,11,0.4189189189189189,76,25,0.32894736842105265,500,6.578947368421052,500,6.578947368421052,0,0,23
development,fusion_margin,20,0.015053182840347292,74,45,29,0,0,0.6081081081081081,37,11,0.40540540540540543,76,26,0.34210526315789475,520,6.842105263157895,520,6.842105263157895,0,0,24
development,fusion_margin,20,0.015819787979125984,74,45,29,0,0,0.6081081081081081,37,11,0.4189189189189189,76,27,0.35526315789473684,540,7.105263157894737,540,7.105263157894737,0,0,25
development,fusion_margin,20,0.0176619291305542,74,45,29,0,0,0.6081081081081081,37,11,0.4189189189189189,76,27,0.35526315789473684,540,7.105263157894737,540,7.105263157894737,0,0,25
development,fusion_margin,20,0.018007174134254456,74,46,28,0,0,0.6216216216216216,37,12,0.43243243243243246,76,28,0.3684210526315789,560,7.368421052631579,560,7.368421052631579,0,0,26
development,fusion_margin,20,0.0184018611907959,74,46,28,0,0,0.6216216216216216,37,12,0.43243243243243246,76,29,0.3815789473684211,580,7.631578947368421,580,7.631578947368421,0,0,27
development,fusion_margin,20,0.019479036331176758,74,47,27,0,0,0.6351351351351351,37,13,0.44594594594594594,76,30,0.39473684210526316,600,7.894736842105263,600,7.894736842105263,0,0,28
development,fusion_margin,20,0.021871745586395264,74,47,27,0,0,0.6351351351351351,37,13,0.44594594594594594,76,30,0.39473684210526316,600,7.894736842105263,600,7.894736842105263,0,0,28
development,fusion_margin,20,0.02340668439865113,74,47,27,0,0,0.6351351351351351,37,13,0.44594594594594594,76,31,0.40789473684210525,620,8.157894736842104,620,8.157894736842104,0,0,29
development,fusion_margin,20,0.02522990107536316,74,47,27,0,0,0.6351351351351351,37,13,0.44594594594594594,76,32,0.42105263157894735,640,8.421052631578947,640,8.421052631578947,0,0,30
development,fusion_margin,20,0.026759549975395203,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,33,0.4342105263157895,660,8.68421052631579,660,8.68421052631579,0,0,31
development,fusion_margin,20,0.027413785457611084,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,33,0.4342105263157895,660,8.68421052631579,660,8.68421052631579,0,0,31
development,fusion_margin,20,0.027536138892173767,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,34,0.4473684210526316,680,8.947368421052632,680,8.947368421052632,0,0,32
development,fusion_margin,20,0.027715027332305908,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,35,0.4605263157894737,700,9.210526315789474,700,9.210526315789474,0,0,33
development,fusion_margin,20,0.028922155499458313,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,36,0.47368421052631576,720,9.473684210526315,720,9.473684210526315,0,0,34
development,fusion_margin,20,0.03212922811508179,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,36,0.47368421052631576,720,9.473684210526315,720,9.473684210526315,0,0,34
development,fusion_margin,20,0.0366736501455307,74,48,26,0,0,0.6486486486486487,37,14,0.4594594594594595,76,37,0.4868421052631579,740,9.736842105263158,740,9.736842105263158,0,0,35
development,fusion_margin,20,0.039937883615493774,74,49,25,0,0,0.6621621621621622,37,15,0.47297297297297297,76,38,0.5,760,10.0,760,10.0,0,0,36
development,fusion_margin,20,0.042070090770721436,74,50,24,0,0,0.6756756756756757,37,16,0.4864864864864865,76,39,0.5131578947368421,780,10.263157894736842,780,10.263157894736842,0,0,37
